country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,ytd_2017,ytd_2018,percent,
China,743760883,579931154,170498433,40134754,59649538,47218585,143172950,737755897,1417472433,1397805881,2088883846,1472670864,1645922944,1016455231,3005064379,3811022247,20454473056,19248866761,18598462600,15454933117,16517800743,14731854636,4628547656,3781726248,-18.3,
Mexico,1286564639,700095224,1225126882,830555180,1006755845,1052125572,934647829,1111994467,1200410960,1068212922,1553598665,2061590233,3050418622,2046920159,2481159931,3894798567,6753567048,5284521791,5768249939,5133066701,5477476587,5974898951,1988005586,1723088378,-13.3,
Japan,2778090961,2165590398,1740197951,1524123382,1560850072,1440177728,1654315393,1699318159,1980906263,1673083059,2065206083,2741469941,4020230664,2903880875,3100869380,4018977461,5387094896,4133137063,4852347944,3947794540,3828148186,4037234354,1626335312,1510441814,-7.1,
Indonesia,320096446,228657408,153187290,96776091,195211744,238215328,195056581,253445779,298664299,286501886,393999238,369049759,494288158,274703151,384410120,709493017,1474596192,1557188095,1707606621,1252189006,1655254641,1861244327,760471095,688257141,-9.5,
Korea,1516883545,674142911,731435839,640773850,303096045,437876164,187736967,151563094,701652906,392153052,829896953,970840950,2328242066,1255501463,1681177572,2315256262,1926668490,1167483868,2212851948,1567902440,1685274533,1746204772,773210052,828028618,7.1,
Taiwan,1039633988,804601055,500239076,521886137,563930971,598272177,588493309,629159133,738176452,716233179,734572111,920165688,979288848,862119919,829354242,1032607787,1649272429,1323688284,1666054340,1360485537,1456814588,1458619391,651098013,561566106,-13.8,
Vietnam,16958352,13663979,4158152,4961175,13903533,28856485,27243368,33170265,66488437,49336545,50609933,106058738,228475649,231303792,337396074,489694922,731809026,890147613,1062948484,1119714185,1511281143,1439796750,547708264,851132654,55.4,
Colombia,218713183,198716266,153581021,168089182,190624241,186467330,221197184,220479702,258449162,280898824,433796975,578506237,702380424,289516022,232602326,316228900,397593133,552269912,1328904565,1201544826,1224719167,1238056857,558692782,528005621,-5.5,
Netherlands,31707196,8048154,5740587,5811718,5222330,4969536,4858321,2159756,4761317,5554607,1501864,8252716,2150339,1204039,1521205,33414636,57395423,93181974,441424323,459424053,801965201,1139806230,619622581,386498454,-37.6,
Turkey,105474041,227214708,208995063,117221427,293439536,215448785,309662687,497223260,521473665,532298351,513239682,864704662,722404870,545254705,923167080,1188625653,1107859484,1153913331,1299330946,713883489,692722947,1085042841,454905789,460276375,1.2,
Thailand,116814909,80252852,70185717,30905123,70655022,105226866,123851990,144864566,189555985,187232602,155063895,211437737,319720396,221456099,312101358,454234015,823358335,636520776,671044757,705690060,816082783,983497925,296977274,416748452,40.3,
Bangladesh,35947074,62135107,71662847,28514151,51058761,75987948,65912542,56510172,73679000,42280119,40234877,60121817,101249985,124832071,163511043,329951311,116340414,169035319,282409777,406686653,381306722,790492971,294980000,328609774,11.4,
Peru,55834419,32734539,93749419,77690971,44072517,53586128,52775546,47615814,66464254,58735126,87702963,157344908,124545401,167833935,258866925,227384191,202962074,413464401,801421773,547336895,667564495,751928776,283805074,256035158,-9.8,
Pakistan,10039308,20541244,18129489,12436456,27978042,60662363,91603391,171945447,179572283,152522884,117100380,257788132,159839745,187536660,146474978,257578244,128608887,193468282,89188961,253360995,393163076,736730669,314412801,514297570,63.6,
Philippines,111567642,41902546,54790080,20266284,37466135,36500668,37134025,22057273,34410243,37518381,25875552,29392530,34771944,44289141,37327928,60911220,688022404,687013072,820187501,625022516,758847001,722482333,218424401,228876361,4.8,
All other,2940521422,2234602421,1905716473,1932790551,2120957597,2257488817,2402381087,2354001969,2452317089,2045045930,2770917332,4106947949,4492288954,3117194333,3536540995,4971044794,9350625549,10153040004,9752183080,7345372017,7800517815,7006203964,2672453081,2975251408,,
Total,11328608008,8072829966,7107394319,6052936432,6544871929,6839080480,7040043170,8133264753,10184454748,8925413348,11862200349,14916342861,19406219009,13290001595,17431545536,24111223227,51250246840,47656940546,51354617559,42094407030,45668939628,45704095747,16689649761,16038840132,,