country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,ytd_2017,ytd_2018,percent
Japan,724597202,639779285,560146751,590408010,663282097,777646346,707609143,684767307,876730773,981547258,902859127,1008705014,1462683300,1486309796,1578951774,1910731251,1937407647,1842522390,1870586783,1508273385,1497748606,1561846488,520605639,521209734,0.1
Mexico,70444179,88598159,107890636,101006172,179791107,194866732,152776305,187818908,375100867,340803093,362367666,308071569,499353386,539433113,652659005,697845008,851711199,950155243,1278077242,1025593115,1142780623,1279138561,403883235,424912119,5.2
China,700837,4508788,7607379,3915566,5061739,15833942,12855039,13576533,34373771,54268708,45281116,136936924,258136703,55272276,130527491,620612426,630076944,622169728,395444459,318248520,574992264,487852349,175949175,165741544,-5.8
Korea,22375827,27595192,16722895,33006157,25601163,19224841,27667263,71119162,49651047,146272972,219168149,217166896,264516477,200614416,175748283,483766427,398520750,246987916,412520388,447355390,337932257,440545449,167671373,256124065,52.8
Hong Kong,36753915,48491932,42220054,28739446,30168543,31144323,18895575,23054630,19241162,19940496,36246619,73777225,342769126,284297030,213850367,183377203,171624683,180901150,290712161,269872385,346026147,402594187,125480050,113299051,-9.7
Canada,50386057,81058625,68553198,62662627,81375225,106486323,117063155,124804523,188457282,277126454,309182103,368569125,418656719,364963941,424937496,475383480,503036829,441007052,474804764,384065544,389723425,390108020,126686963,111400898,-12.1
Australia,267328,31155,353907,0,279613,11016,1237063,52714,3281096,48764437,47614393,64626472,84053320,91839344,124911836,180364671,182140992,150363868,158126753,140384659,150038259,173748098,61595398,67951803,10.3
Colombia,912356,1957489,8921152,5984012,4830400,3919912,3084981,2436106,2236258,4855577,4685810,5680278,9795159,8047064,15989156,25020690,47383404,78480277,123149955,88208106,94198272,150079684,44659894,63949900,43.2
Chile,181511,16940,46719,6233,23163,10956,22808,86665,43673,638360,934354,4006742,4748144,2644589,9785295,25587006,33593077,45919531,37458164,32017728,45593623,72273132,19453490,16610233,-14.6
Dominican Rep,274583,102238,4280103,4871257,1406955,1677532,2230547,905080,2538378,5159676,5131733,8734952,22742280,30526492,34239298,29486030,32425353,38522351,42422549,47208953,48856615,62231772,22103474,27408705,24
Philippines,1951689,2511857,1411494,2192866,671214,1312933,1368912,396137,1353013,2882527,3983289,9257370,40091935,58192972,79244732,65064799,60699001,74047746,63737832,40625508,44048484,55819827,13695571,16541084,20.8
Honduras,103008,461552,1271977,2739913,2400313,5512681,5343706,6356414,7693168,10676507,15247877,18848061,23306857,28598664,42859944,44569313,43313462,49924275,42912467,41510995,46194551,52261669,16090246,19302662,20
Guatemala,346876,1061018,1154084,2646603,3343473,4344856,4571083,6501271,5357542,4945627,6987088,8884436,10089930,10588574,17716552,16623949,19883678,22968366,31313905,29339540,31446007,35178179,9682812,11783328,21.7
Taiwan,14062893,2071624,17193228,41926150,36269695,16163896,21751233,30269070,54083616,38317861,34903687,21649413,47737265,60760631,51425810,49736508,37634137,36711677,31502175,35533002,19493331,29806904,8728540,10604169,21.5
Panama,173212,358777,3193055,3221336,2166758,2890147,1937050,684085,930195,1811407,1960509,4216533,3558606,4177633,4420451,6831534,8547707,17044806,15464106,17048895,19421809,17654463,2593424,3892017,50.1
All other,67134430,100972472,124525814,38262489,107445435,78004512,56192059,55239805,88954076,163695803,252233390,293302672,681919429,361672637,346040262,352447141,418923346,224244354,317640209,112362576,115333662,143896574,39671762,51458576,
Total,990665903,999577103,965492446,921588837,1144116893,1259050948,1134605922,1208068410,1710025917,2101706763,2248786910,2552433682,4174158636,3587939172,3903307752,5167447436,5377376090,5021970730,5585873912,4537648301,4903929459,5355035356,1758551046,1882189888,