country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,ytd_2017,ytd_2018
Mexico,4749062853,6197918896,6882141737,7540422917,8870066372,7855201476,8194842497,8310429547,9400127145,10130892016,10952264978,13085342809,10863335203,7923991227,10789997433,16029060135,21906705578,23035064176,25724297896,26947775257,24395932606,24861002945,5724958483,6060473636
China,405555495,613854182,804249302,955666325,1214032975,1072894431,1400689106,1675773145,2369261642,3027050106,4100964847,6246438972,6173578471,4754160122,6407308200,7520561032,9642050924,9805972552,12055495705,12560721242,12297973217,14128776832,2955162746,3120160469
Japan,3458094337,4068009881,3896874868,4576241658,6376154627,4948797784,4231550453,3755274160,4398731573,4409878341,4969005436,6226513983,6082685992,4552301750,5639374888,5627221720,6280016614,5904621073,5420119563,5287669181,5466473326,5535568289,1471748623,1287122679
Germany,573464177,715171989,879722689,1131108614,1303617415,1439778783,1248523093,1101752256,1206888393,1471670746,1623939719,2052894300,2123394807,1498993875,1651797469,2132529066,2343214425,2595564843,2727857450,2684496257,2822295082,3214541226,736488614,816420965
Canada,768392556,892470446,1035032803,1134502715,1345150203,1346731987,1513862842,1383945073,1570786651,1470776546,1728411726,3097861916,2736472814,2116335388,2211128954,2378505341,2517408769,2386665276,2321707809,2370506155,2436328065,2746206943,696757942,653116671
Taiwan,545974599,678679701,721463285,763169063,1087605668,778645894,794519570,975415096,1083453702,1196629220,1629842919,2960571589,2748864396,2912741473,2312472177,2012819524,2762455362,2140446959,2144095186,2584694057,2553016646,2269291681,574338794,472637577
Malaysia,527068896,666690331,655852500,652758267,793467156,518031288,547682656,517238236,614629718,704434311,935629966,1180286687,1070792702,828286404,1204513942,1186849285,1281732045,1398444598,1731155398,1627586284,1692766495,1582492000,409536075,395627289
Korea,222191872,218528010,260311124,339840218,680886967,630398829,469027226,536910402,782307252,790035293,854964570,1238567874,953511407,884776246,1158011312,1119448051,1278001357,1137507169,1326591097,1541067495,1493415409,1422973028,341063371,404615380
Vietnam,0,1498,31501,149749,136159,89736,5473491,16303729,23354716,24869453,51607665,87324014,102173358,95836567,200965077,304761264,487919994,548096864,611084843,601741011,652199705,1038063940,159234295,243273015
Thailand,307480837,332954001,336619901,340574314,420468832,362064337,385323604,399516206,536510325,472948180,476629484,779795428,819338811,466969162,532263491,715805417,1106558640,1045789201,797890517,795928665,925061431,1022408692,282983562,201810568
Philippines,449177177,477286976,437020638,494252833,641015862,541358295,537534603,546588459,581373183,591809402,648984323,881743239,778448808,475257152,672470722,646972559,689211717,765888027,856865407,977852482,929687829,1000841752,250749974,267843238
France,237066871,293154745,412925074,437973441,567795354,535282298,490150798,530574268,531509516,530566194,587746058,738161260,753840734,508312374,607674028,667182912,721690251,717448496,757804141,747148488,845740000,970100261,222186041,248206233
United Kingdom,461915822,541249626,651084317,787207569,954353877,859325457,704440143,724551973,815019146,877183078,975636150,1082950190,1070395729,799229331,891644769,913858493,1010408764,919666031,858458317,877336092,823554709,903780393,214973930,231142638
Switzerland,190007322,181993203,211443748,260399007,315495686,286278808,294844410,264660957,293456403,305684889,342977226,432932474,462243536,387991101,502079815,551344270,566478328,571425108,583955763,662542618,709459685,708102156,190037324,171370776
Italy,123275627,139358599,153245279,170503653,188120102,174861724,186276127,203663612,213369672,235527610,302655937,322473132,361702048,296693601,255418794,394008214,448054748,507223731,522232527,540556964,544592792,604781434,140422675,159702541
All other,1693658474,1984127253,2198142583,2406613691,3640440517,3000162248,3008205631,2963699184,3261425807,3572881689,4104989728,5206968185,5497527363,3949303460,5070941212,5993609277,6896365732,6743111398,7252817667,6980444518,7257268612,7779776281,1838902062,2076667223
Total,14712386915,18001449337,19536161349,21991384034,28398807772,24349903375,24012946250,23906296303,27682204844,29812837074,34286250732,45620826052,42598306179,32451179233,40108062283,48194536560,59938273248,60222935502,65692429286,67788066766,65845765609,69788707853,16209544511,16810190898